iter	Passed	Remaining
430	2342	3093
431	2349	3088
432	2354	3083
433	2359	3077
434	2365	3071
435	2370	3066
436	2374	3059
437	2380	3053
438	2384	3047
439	2389	3041
440	2394	3035
441	2399	3029
442	2404	3023
443	2409	3017
444	2414	3011
445	2419	3005
446	2424	2999
447	2429	2993
448	2434	2988
449	2439	2982
450	2444	2976
451	2450	2970
452	2455	2964
453	2460	2959
454	2465	2953
455	2470	2946
456	2475	2941
457	2480	2935
458	2485	2930
459	2491	2925
460	2497	2919
461	2502	2913
462	2507	2908
463	2512	2902
464	2517	2896
465	2523	2891
466	2528	2886
467	2533	2880
468	2539	2874
469	2544	2868
470	2549	2863
471	2554	2857
472	2559	2851
473	2564	2846
474	2569	2840
475	2574	2834
476	2580	2828
477	2585	2823
478	2590	2817
479	2596	2812
480	2601	2806
481	2606	2800
482	2611	2795
483	2616	2789
484	2622	2784
485	2628	2779
486	2634	2774
487	2639	2769
488	2645	2764
489	2651	2759
490	2657	2755
491	2663	2750
492	2669	2744
493	2674	2739
494	2679	2733
495	2685	2728
496	2691	2723
497	2697	2718
498	2701	2712499	2702	2702
500	2718	2707
501	2730	2708
502	2743	2711
503	2757	2713
504	2768	2713
505	2781	2715
506	2793	2716
507	2805	2717
508	2818	2719
509	2831	2720
510	2843	2721
511	2858	2724
512	2871	2725
513	2881	2724
514	2890	2721
515	2897	2717
516	2902	2711
517	2908	2706
518	2913	2700
519	2918	2694
520	2924	2688
521	2929	2682
522	2934	2676
523	2939	2670
524	2944	2664
525	2949	2658
526	2954	2651
527	2959	2645
528	2964	2639
529	2970	2633
530	2975	2627
531	2980	2621
532	2985	2615
533	2990	2609
534	2995	2603
535	3000	2597
536	3005	2591
537	3010	2585
538	3015	2578
539	3020	2572
540	3025	2566
541	3030	2560
542	3035	2554
543	3040	2548
544	3045	2542
545	3050	2536
546	3055	2530
547	3060	2524
548	3065	2518
549	3070	2512
550	3075	2506
551	3080	2500
552	3085	2494
553	3090	2488
554	3095	2482
555	3101	2476
5556	3108	2472557	3112	2465
558	3117	2459
559	3121	2452
560	3127	2447
561	3132	2441
562	3137	2435
563	3142	2429
564	3148	2423
565	3153	2418
566	3158	2412
567	3164	2406
568	3169	2400
569	3173	2394
570	3178	2388
571	3184	2382
572	3189	2376
573	3194	2370
574	3199	2365
575	3205	2359
576	3210	2353
577	3215	2347
578	3220	2341
579	3225	2335
580	3230	2329
581	3235	2323
582	3240	2318
583	3245	2312
584	3251	2306
585	3256	2300
586	3261	2294
587	3267	2289
588	3272	2283
589	3277	2277
590	3282	2271
591	3288	2266
592	3294	2260
593	3300	2255
594	3305	2250
595	3311	2244
596	3316	2238
597	3322	2233
598	3327	2227
599	3332	2221
600	3337	2215
601	3342	2209
602	3347	2203
603	3351	2197
604	3357	2191
605	3362	2186
606	3367	2180
607	3372	2174
608	3377	2168
609	3382	2162
610	3387	2156
611	3391	2150
612	3396	2144
613	3401	2138
614	3406	2132
615	3411	2126
616	3416	2120
617	3421	2115
618	3427	2109
619	3431	2103
620	3437	2097
621	3442	2092
622	3447	2086
623	3452	2080
624	3457	2074
625	3462	2068
626	3467	2063
627	3472	2057
628	3477	2051
629	3483	2045
630	3487	2039
631	3493	2033
632	3498	2028
633	3504	2022
634	3509	2017
635	3514	2011
636	3520	2005
637	3524	2000
638	3530	1994
639	3535	1988
640	3540	1982
641	3545	1977
642	3550	1971
643	3555	1965
644	3560	1959
645	3566	1954
646	3571	1948
647	3576	1942
648	3581	1937
649	3586	1931
650	3592	1925
651	3597	1920
652	3603	1914
653	3608	1909
654	3614	1903
655	3619	1897
656	3624	1892
657	3630	1887
658	3636	1881
659	3642	1876
660	3647	1870
661	3653	1865
662	3658	1859
663	3664	1854
664	3669	1848
665	3675	1843
666	3680	1837
667	3686	1831
668	3690	1826
669	3696	1820
670	3701	1814
671	3706	1809
672	3711	1803
673	3716	1797
674	3721	1792
675	3726	1786
676	3731	1780
677	3736	1774
678	3741	1768
679	3746	1763
680	3751	1757
681	3757	1751
682	3762	1746
683	3767	1740
684	3772	1734
685	3777	1729
686	3782	1723
687	3787	1717
688	3792	1711
689	3797	1706
690	3802	1700
691	3808	1694
692	3813	1689
693	3818	1683
694	3823	1678
695	3829	1672
696	3834	1666
697	3839	1661
698	3845	1655
699	3850	1650
700	3855	1644
701	3860	1638
702	3865	1633
703	3870	1627
704	3876	1621
705	3881	1616
706	3886	1610
707	3892	1605
708	3897	1599
709	3903	1594
710	3908	1588
711	3913	1583
712	3918	1577
713	3923	1571
714	3929	1566
715	3934	1560
716	3940	1555
717	3945	1549
718	3951	1544
719	3956	1538
720	3962	1533
721	3967	1527
722	3972	1522
723	3978	1516
724	3983	1510
7725	3986	1504726	4002	1502
727	4016	1500
728	4029	1498
729	4042	1495
730	4054	1492
731	4067	1489
732	4079	1485
733	4091	1482
734	4104	1479
735	4117	1476
736	4130	1474
737	4142	1470
738	4154	1467
739	4165	1463
740	4174	1459
741	4181	1453
742	4187	1448
743	4193	1442
744	4198	1437
745	4203	1431
746	4208	1425
747	4213	1419
748	4218	1413
749	4224	1408
750	4230	1402
751	4235	1396
752	4240	1390
753	4246	1385
754	4251	1379
755	4257	1374
756	4262	1368
757	4268	1362
758	4273	1357
759	4279	1351
760	4285	1345
761	4290	1340
762	4295	1334
763	4301	1328
764	4306	1322
765	4311	1317
766	4316	1311
767	4321	1305
768	4327	1299
769	4332	1293
770	4336	1288
771	4342	1282
772	4347	1276
773	4352	1270
774	4357	1264
775	4362	1259
776	4367	1253
777	4372	1247
778	4377	1241
779	4382	1236
780	4387	1230
781	4392	1224
782	4397	1218
783	4402	1213
784	4407	1207
785	4412	1201
786	4417	1195
787	4422	1189
788	4427	1184
789	4432	1178
790	4437	1172
791	4443	1166
792	4448	1161
793	4453	1155
794	4458	1149
795	4463	1143
7796	4463	11367797	4468	11317798	4473	11257799	4478	11198800	4483	1113801	4494	1109
8802	4494	1102803	4504	1098
804	4509	1092
805	4514	1086
806	4519	1080
807	4524	1075
808	4529	1069
809	4534	1063
810	4540	1058
