iter	MultiClass
360	0.1472029773
361	0.1469818616
362	0.146622819
363	0.1463259793
364	0.1459421713
365	0.1455004901
366	0.1449897823
367	0.1446711492
368	0.1444612807
369	0.1440033302
370	0.1436906512
371	0.1434935189
372	0.1432231335
373	0.1429042779
374	0.1422866301
375	0.141972735
376	0.1415808927
377	0.1413192255
378	0.1410896791
379	0.1408155362
380	0.1405530717
381	0.1401161897
382	0.1398146211
383	0.1392735526
384	0.1391271022
385	0.1388206753
386	0.1383877445
387	0.1379903561
388	0.1376677635
389	0.1371956742
390	0.1369958667
391	0.1364428191
392	0.1358939952
393	0.1355380639
394	0.1351919473
395	0.1349711286
396	0.1347804924
397	0.1345821135
398	0.1340069482
399	0.1333074164
400	0.1329398256
401	0.132461266
402	0.1323103501
403	0.1321006104
404	0.1318663232
405	0.1317002186
406	0.1314187236
407	0.1307354041
408	0.1305412944
409	0.1302202755
410	0.1299433323
411	0.1294874495
412	0.1293979577
413	0.1291935586
414	0.1288003169
415	0.1287081206
416	0.1284787967
417	0.1280327487
418	0.127840021
419	0.1276617585
420	0.1274349201
421	0.1270528036
422	0.1264221723
423	0.1261119963
424	0.1257577769
425	0.1253920784
426	0.125055433
427	0.1247178515
428	0.1245528101
429	0.1241988169
430	0.1240280993
431	0.1235570321
432	0.1233098033
433	0.1231735807
434	0.1231236094
435	0.1228655824
436	0.1227077094
437	0.1224400756
438	0.1221721362
439	0.12190877
440	0.1216220509
441	0.121518918
442	0.1212604869
443	0.1210437242
444	0.1207840632
445	0.1203412971
446	0.1200028394
447	0.119818317
448	0.119524182
449	0.1191856633
450	0.1187740806
451	0.118401766
452	0.1181595805
453	0.1178567357
454	0.1177275814
455	0.1175609488
456	0.117412678
457	0.1172590303
458	0.1171047511
459	0.1168082409
460	0.116619753
461	0.1161402419
462	0.1159216191
463	0.1156242193
464	0.1153673552
465	0.1149310994
466	0.1147926816
467	0.1145052214
468	0.1141373167
469	0.1137912294
470	0.1136428905
471	0.1133165133
472	0.1132063489
473	0.1130770735
474	0.1128836378
475	0.1126965635
476	0.1124523007
477	0.1120047908
478	0.111768539
479	0.1114228214
480	0.1112549484
481	0.1110167898
482	0.1107253744
483	0.1104417172
484	0.1103285409
485	0.1100084304
486	0.1096452035
487	0.1093979309
488	0.1090060928
489	0.1087749613
490	0.1084867902
491	0.1083355087
492	0.1081108879
493	0.1077485573
494	0.1075010934
495	0.1074127968
496	0.1072938436
497	0.107078484
498	0.1068023343
499	0.1065207218
500	0.1062794515
501	0.1061844463
502	0.1059171131
503	0.1057620705
504	0.1054700338
505	0.1052015196
506	0.1048346169
507	0.1045362787
508	0.1042844602
509	0.104018173
510	0.1038063744
511	0.1035438391
512	0.1031414985
513	0.1028589155
514	0.1026751936
515	0.102473666
516	0.1022958724
517	0.1021294522
518	0.1018700169
519	0.1015263956
520	0.1014173761
521	0.1011588469
522	0.1008601719
523	0.1006610062
524	0.1003423961
525	0.1001928542
526	0.09989754047
527	0.09973680685
528	0.09945636995
529	0.09934700275
530	0.09921739248
531	0.0990693721
532	0.0988201038
533	0.09864437584
534	0.09851612332
535	0.09810252228
536	0.09802656724
537	0.09776103337
538	0.09758862259
539	0.09737273345
540	0.09727635537
541	0.09713242025
542	0.09695875876
543	0.09669143841
544	0.09638378811
545	0.09624547786
546	0.09617657207
547	0.09606410583
548	0.09588514967
549	0.09567026087
550	0.09554779743
551	0.0953810285
552	0.09519718663
553	0.09496323301
554	0.09470016682
555	0.09435930011
556	0.09410575826
557	0.09391570892
558	0.0936885343
559	0.09359498734
560	0.09331326316
561	0.09298789693
562	0.09258210838
563	0.09245515687
564	0.09232052871
565	0.09212329318
566	0.09193159401
567	0.09178744486
568	0.09162047951
569	0.09148138859
570	0.09116692652
571	0.09097155079
572	0.09074918765
573	0.09057199914
574	0.09041902432
575	0.09025987786
576	0.09008542376
577	0.08999216073
578	0.08976750552
579	0.08955725357
580	0.08937863236
581	0.0892966951
582	0.08913079308
583	0.08897660404
584	0.088857877
585	0.08873740608
586	0.0884963395
587	0.08835095203
588	0.08809939461
589	0.08791823121
590	0.0876580964
591	0.08751336179
592	0.08734933583
593	0.08723864614
594	0.08705197504
595	0.08685684913
596	0.08675056396
597	0.0866508661
598	0.08632088746
599	0.08613058931
600	0.08599344171
601	0.08583147417
602	0.08572185748
603	0.08564769991
604	0.08527611105
605	0.08514334641
606	0.0849137495
607	0.08457254809
608	0.08443341365
609	0.08433704933
610	0.08423173567
611	0.08405411304
612	0.08385262587
613	0.08367256147
614	0.08355993071
615	0.08337612168
616	0.08321318459
617	0.08300686066
618	0.08274756081
619	0.08267085117
620	0.08254342817
621	0.08230756917
622	0.08217839225
623	0.08208529649
624	0.08189837598
625	0.08177962535
626	0.08170705918
627	0.08153757649
628	0.0813629919
629	0.08122581293
630	0.0810997958
631	0.08099312911
632	0.08086568402
633	0.08072858925
634	0.0805020238
635	0.08030399311
636	0.08018598626
637	0.08008283377
638	0.07999400437
639	0.07980837419
640	0.0797201413
641	0.07958291921
642	0.07950909016
643	0.07924400241
644	0.07905970981
645	0.07894125405
646	0.0787984326
647	0.07863123453
648	0.07853633384
649	0.07835466103
650	0.07801540486
651	0.07775858121
652	0.07766738636
653	0.07746910157
654	0.07738645071
655	0.07728644225
656	0.07713717277
657	0.07703531976
658	0.07693307501
659	0.07684599984
660	0.07668227723
661	0.07655531495
662	0.07644291577
663	0.07636317089
664	0.07620467787
665	0.07614780136
666	0.0760249039
667	0.07583369901
668	0.07566958469
669	0.07549154721
670	0.07522937461
671	0.07513747241
672	0.07502278401
673	0.07484085638
674	0.07461320698
675	0.07441236576
676	0.07422513804
677	0.07405641615
678	0.07394819793
679	0.07383905714
680	0.07377316678
681	0.07360816723
682	0.0734261865
683	0.07334392791
684	0.07329203496
685	0.07315533373
686	0.07304085432
687	0.07291911262
688	0.07284201554
689	0.07272969893
690	0.07258509247
691	0.07246669281
692	0.07234436314
693	0.07212531497
694	0.07198075435
695	0.07184744663
696	0.07176456017
697	0.07151481784
698	0.07141054383
699	0.07136586021
700	0.07122646862
701	0.07105984904
702	0.0710208403
703	0.07090545145
704	0.07080608883
705	0.07066998822
706	0.07058957436
707	0.07048008316
708	0.07038375703
709	0.07026394253
710	0.07013329441
711	0.07005054298
712	0.06989437031
713	0.0698053002
714	0.06968351346
715	0.06956040997
716	0.06943077077
717	0.06931781875
718	0.06926221265
719	0.06914850651
720	0.06900756063
721	0.06890594275
722	0.0687669283
723	0.06869744479
724	0.06856152448
725	0.06841571876
726	0.06829140068
727	0.06815408695
728	0.06800674427
729	0.06788351607
730	0.06777521549
731	0.06765769953
732	0.0675808112
733	0.06732824324
734	0.06722389736
735	0.06707159029
736	0.06691881028
737	0.06678828164
738	0.06662558943
739	0.06655722032
740	0.06635615068
741	0.06624761267
742	0.06613794708
743	0.06604126366
744	0.06593473426
745	0.06585570064
746	0.06573843743
747	0.06558765021
748	0.06547852195
749	0.06538194104
750	0.06523855405
751	0.06515658687
752	0.06511821276
753	0.06498926244
754	0.06486014412
755	0.06476662145
756	0.06450786792
757	0.06434800073
758	0.06426486662
759	0.06421265233
760	0.06410344131
761	0.06399348331
762	0.06385299524
763	0.063741184
764	0.06354644432
765	0.06347569856
766	0.0634088409
767	0.06326403438
768	0.0631388352
769	0.06309590908
770	0.06301354095
771	0.0629434327
772	0.06288992749
773	0.06277596639
774	0.06268417331
775	0.06260814564
776	0.06244277155
777	0.06235422415
778	0.06225574202
779	0.06211485733
780	0.06199384328
781	0.06186147849
782	0.06179253851
783	0.06161076079
784	0.06151120252
785	0.06140906837
786	0.06134970042
787	0.06123813201
788	0.06115178482
789	0.06111456971
790	0.06091945988
791	0.06082458238
792	0.06062334577
793	0.06052460048
794	0.06039508354
795	0.06026694156
796	0.06018553777
797	0.06005524367
798	0.05995807981
799	0.05984121549
800	0.05972333784
801	0.05953768322
802	0.05950267735
803	0.05944851912
804	0.05931224431
805	0.05920220345
806	0.05916186848
807	0.05912130625
808	0.05906264047
809	0.0589614784
810	0.05887680965
811	0.05877286253
812	0.05860961677
813	0.05852385482
814	0.05844595087
815	0.05832713845
816	0.05824753816
817	0.0581433128
818	0.05807959224
819	0.0579751818
820	0.05787125182
821	0.05783719028
822	0.05775294179
823	0.05768555269
824	0.05754764355
825	0.0575188723
826	0.05744339737
827	0.05736464024
828	0.05725836428
829	0.05719987455
830	0.05711366261
831	0.05705242024
832	0.05689412002
833	0.05680820416
834	0.0567029096
835	0.0566600619
836	0.05658681248
837	0.05654207511
838	0.05643586077
839	0.05637030379
840	0.0562903088
841	0.05618433947
842	0.05606110714
843	0.05600927074
844	0.05590583132
845	0.05584111317
846	0.05577124899
847	0.05563200763
848	0.05558228539
849	0.05554621047
850	0.05548701676
851	0.0554430423
852	0.05533076872
853	0.05523723628
854	0.05515280763
855	0.0550622056
856	0.05498940891
857	0.05488399747
858	0.05482299779
859	0.05471176113
860	0.05466528199
861	0.05463130234
862	0.05455978714
863	0.05448088373
864	0.05444649998
865	0.05440494096
866	0.05434388
867	0.05429767297
868	0.05424466291
869	0.05416901543
870	0.05408917341
871	0.05398409544
872	0.05391580486
873	0.05379591239
874	0.0536884767
875	0.05358635172
876	0.05349031583
877	0.05344835994
878	0.05333401595
879	0.05324905802
880	0.05310841527
881	0.05302780978
882	0.05293533236
883	0.0528877258
884	0.05283676986
885	0.05280956982
886	0.05274517504
887	0.05269266923
888	0.05261078328
889	0.05255311835
890	0.05247922818
891	0.05241563729
892	0.0522893342
893	0.05215466283
894	0.05208360844
895	0.05194234523
896	0.05181521567
897	0.05173863147
898	0.05172187616
899	0.05165948741
900	0.05160802537
901	0.05153156004
902	0.05143506431
903	0.05137971228
904	0.05131496752
905	0.05127603504
906	0.05121562095
907	0.05113349734
908	0.05109685915
909	0.05104615385
910	0.05098550946
911	0.0509260658
912	0.05089345027
913	0.05079642347
914	0.05072718533
915	0.05065961797
916	0.05061804699
917	0.0505565163
918	0.05052943726
919	0.05042670447
920	0.05039026851
921	0.05030157538
922	0.05022713289
923	0.05017528509
924	0.050066514
925	0.05001949018
926	0.04998446229
927	0.04989113708
928	0.04974456426
929	0.04963551964
930	0.04958445113
931	0.04950818088
932	0.04946134458
933	0.04940245627
934	0.04936757719
935	0.04931516748
936	0.0492120508
937	0.04912988045
938	0.04907781967
939	0.0489832916
940	0.04884244295
941	0.04878940728
942	0.04868726681
943	0.04864140951
944	0.04857473035
945	0.04849086684
946	0.04836427681
947	0.0482980114
948	0.04822753895
949	0.04816851219
950	0.04811514667
951	0.04803025485
952	0.04798970095
953	0.04795865939
954	0.04791726225
955	0.04787424882
956	0.04768243987
957	0.04762854443
958	0.04755918051
959	0.04746933457
960	0.0473691964
961	0.04734377137
962	0.04729065135
963	0.04721679258
964	0.04717181588
965	0.04708848391
966	0.04704874219
967	0.04702560426
968	0.04699907698
969	0.04693069676
970	0.04684668143
971	0.04679828998
972	0.0467489505
973	0.04668251325
974	0.04659471524
975	0.04653810556
976	0.04646502082
977	0.04636879168
978	0.04626067744
979	0.04617112174
980	0.04613829662
981	0.04606590188
982	0.04603211286
983	0.04592328887
984	0.04584432624
985	0.04577619792
986	0.0457466191
987	0.0457011276
988	0.04559318187
989	0.04555125088
990	0.04549322479
991	0.04543525731
992	0.04537769311
993	0.04529559791
994	0.04523906261
995	0.04519637378
996	0.04516370996
997	0.04510899319
998	0.0450772461
999	0.04498299312
0.03793811413
999	0.03786031139
